user_id,champion,score
586884,시비르,26.79
586884,샤코,12.95
586884,진,14.88
586884,베이가,18.9
586884,마오카이,15.9
586884,그라가스,12.0
586884,바이,11.96
586884,자르반4세,10.08
586884,다이애나,7.03
586884,리신,7.04
586884,럭스,5.98
586884,이즈리얼,5.04
586884,킨드레드,8.03
586884,람머스,6.05
586884,자이라,3.96
586885,제라스,39.05
586885,소라카,11.88
586886,야스오,18.15
586886,다리우스,6.96
586887,리븐,31.92
586887,럼블,14.0
586887,쓰레쉬,14.03
586887,블리츠크랭크,8.03
586887,브라움,8.03
586888,아크샨,16.12
586888,니달리,5.98
586890,갱플랭크,9.89
586890,워윅,14.08
586890,리븐,6.0
586890,스웨인,8.96
586890,요네,7.04
586893,카이사,2.97
586895,카이사,4.95
586895,자야,6.02
586896,오리아나,58.86
586896,진,12.0
586896,아리,4.94
586896,이즈리얼,3.96
586897,트위스티드페이트,87.4
586897,샤코,86.62
586897,케인,26.88
586897,아리,19.0
586897,녹턴,6.0
586898,렉사이,20.16
586898,볼리베어,5.98
586899,사일러스,16.0
586899,탈론,17.05
586899,리신,7.92
586899,아칼리,6.96
